character,content,scene,sound,Cmt
X,O,X,P,"nhạc phim hay, đa số những bộ phim mình xem sẽ chú ý phần nhạc hơn là cốt truyện"
X,X,O,X,"Là 1 hard core fan của thể loại sci-fi, mình đã định viết rất dài cho bộ phim đáng xem nhất thể loại này trong vài năm gần đây. Tuy nhiên có lẽ sẽ rất khó để liệt kê hết những điểm tâm đắc qua vài dòng nhận xét. Chỉ biết nói rằng, nếu bạn hiểu bối cảnh ra đời của tiểu thuyết vào những năm 1950s, ngay sau 2 cuộc đại chiến và thế giới vừa bước vào chiến tranh lạnh, cộng thêm vốn hiểu biết về lịch sử, bạn sẽ thấy thoả mãn x2 khi xem bộ phim này. Từ việc một vụ ám sát khơi mào cuộc chiến giống thế chiến I đến sự suy tàn của đế chế Ottoman, phong trào độc lập và đi tìm căn tính quốc gia của các bộ tộc Arab dẫn đến sự hình thành các quốc gia ngày nay ở Trung Đông. Dầu mỏ cũng không khác hương dược, sự can thiệp của các thế lực phương tây, sự trỗi dậy của Hồi giáo và cái cách người ta xây dựng một hình tượng tôn giáo tạo ra một jihad (thánh chiến), tất cả đều không khác nhiều lắm giữa thực tế xảy ra và câu chuyện ở Dune."
X,O,X,X,"Mình chưa coi bao h, chỉ nghe nói phim nổi tiếng của Nhật nói về thời chiến thôi. Coi xong tốn 3 tờ khăn giấy. Huhu suy luôn. 11₫/10₫ 🤧"
X,X,P,X,"Phim rất hayyyyyyyy, đồ ăn cũng ngon nữa Xem phim có nhiều phân đoạn hài lắm, xứng đáng để xem nhaaaa"
X,P,O,X,"Một bộ phim khá cảm xúc nhưng không buồn đến khóc lụt rạp đâu nhé, cảnh phim liên tục thay đổi từ quá khứ hiện tại tương lai, nói chung phim xem ổn, thư giản cuối tuần"
X,X,X,X,Đáng đồng tiền bát gạo 🤩🤩🤩
P,X,P,X,"Phim cũng hay, bối cảnh, diễn xuất, màu phim đều tuyệt vời, điểm trừ duy nhất chính là tình tiết bé gái là con của nam chính và nam chính ôm nữ chính ra miếu làng xin chứng giám là đã thành vợ thành chồng, nó kiểu giống dắt tay nhau ra nhà thờ xin chúa chứng"
X,O,X,X,Những ng độc thân nên xem . cảm giác thấy bản thân ở trong đó . phim đáng xem nội dung ổn .
X,X,X,X,"Xem lần 3 rui rạp vẫn còn đông, ai chê phim thì đúng chúa, chúa hò :3"
N,X,X,X,"Dàn diễn viên không có sự tương tác, làm giảm tính chân thực."
X,X,X,N,"Đoạn hội thoại bị nhiễu, nghe không rõ từ nào."
X,X,X,X,"trời ơiiii ai yêu gia đình đi coi liền cho tui, 4 đứa đi coi khóc nấc luôn. coi đau lòng dã man y như chuyện quá khứ huhu 100000 điểm"
X,X,X,X,"Hài hước, giải trí."
X,X,X,X,"Rất lâu rồi mình mới được xem lại kiểu phim như này , Rất hay nên đi xem nha mn 😍"
N,N,X,X,"Phim chất lượng tốt nhưng thực sự không mê nổi nàng tiên cá cả về phần kịch bản lẫn diễn viên, sau đó mấy hôm mình xem Người nhện thấy hay và đẹp nên càng chán phim này chứ không cũng cố gắng cho 2 sao"
X,N,P,X,Phim bối cảnh rất đẹp nhưng hay bị đứt mạch cảm xúc mặc dù rất tập trung xem
P,X,X,X,Phim dễ thương lắm luôn. Sau bao ngày làm việc căng thẳng thì gặp Doraemon và những người bạn là bay hết mệt mỏi hihi 💯💯
X,X,X,N,"Âm lượng lời thoại của nhân vật chính và phụ không đồng đều, lúc to lúc nhỏ."
N,N,N,X,"Hmmm, sao nhỉ. Mình thấy phim nghiêng về tâm lí hơn, cảm giác có gì đó chưa tới, diễn viên cũng được nhưng để bảo lột tả hết nhân vật thì chưa, vẫn là những cách làm cũ, phần đầu dài lê thê còn gần hết thời lượng phim thì dồn dập để kết, không có nhiều ấn tượng"
X,P,P,P,"Hay vãi chưởng. Một người chưa từng xem bất kỳ một phiên bản nào của Transformers như mình còn thấy hay thì đừng ngần ngại thưởng thức mn ơi. Mình xem định dạng 4DX nó giật cho tung não :))) Phim hài, ý nghĩa, mãn nhãn. Ứng cử viên cho Oscars sang năm rồi. Lồng tiếng rất hay."
P,X,X,X,"Đây mới là điện ảnh, Leo vẫn vô đối 👏"
X,N,O,X,"Phim k hay lắm, cốt truyện tuyến tính thiếu cao trào. Người xem có thể biết được ai mới là người được chọn từ rất sớm, cũng như biết được kết phim. Thứ lôi kéo được người xem ở đây chỉ nằm ở khía cạnh hài hước, và cách thể hiện sự nhân văn qua từng câu nói"
X,X,P,P,"mỗi người mỗi cảm nhận nhưng đối với mình thì mình khá thích phim, thoả mãn cả phần nghe và phần nhìn, coi 4 lần rồi và vẫn muốn coi tiếp"
N,X,X,X,Mình thaáy phim cũng ok mà. K tới nỗi bị chê thậm tệ như vậy. Chỉ có ngoại hình nữ chính k ngấm nỗi thôi. Còn lại rất chỉnh chu. Cũng hài hài. Chán kb xem gi thi đây cũng là 1 sự lựa chọn k tệ nè
X,X,X,X,Cute
X,X,X,N,Âm thanh không khớp với hành động của nhân vật.
N,X,X,X,Lời thoại được thể hiện thiếu cảm xúc.
X,P,P,X,"cốt truyện mạch lạc, không gượng ép. Xem thấy thoải mái vì tình tiết không lê thê kéo dài mà thoáng"
X,X,N,N,"Cảnh quay trong rừng không có chiều sâu, tiếng chim và lá cây cũng không chân thực."
X,N,X,X,"1 bộ phim xàm gê á , xem phí tgian lắm 😢"
X,X,O,N,"Âm thanh của các cảnh biển nghe không tự nhiên, làm giảm sức hút của bối cảnh."
X,X,O,X,"Cách bố trí bối cảnh tạo cảm giác gọn gàng, nhưng chưa có yếu tố đặc sắc."
X,X,X,X,Hay lắm nhé mn. Nên xem đi chứ ít xuất chiếu lắm. Tiếc vì mình không xem sớm.
X,X,X,X,Chỉ là phim hoạt hình mà sao chân thật đến thế
O,X,X,X,"các siêu anh hùng khác ko đến viếng đám ma của báo đen là 1 thiếu sót,còn lại ổn"
X,X,X,X,Hông hiểu sao mình xem phim hoạt hình mà cũng khóc nữa mng 🥺❤️
P,P,X,X,"phim hay, diễn đạt, kịch bản ổn, ai coi phim mà không hiểu là tại mình dở nha đừng nói tại phim"
O,X,N,N,Mình xem Deadpool vì là fan Marvel và mong phim sẽ hay hơn các phần sau Endgame. Nhưng xem xong chỉ nhớ mỗi cảnh Cap kéo trực thăng trong Civil War. Âm thanh và hình ảnh đều không để lại dấu ấn đặc biệt.
P,P,O,X,Phim quá hay. Vui có buồn có cảm xúc có. Phim đi ngược với suy nghỉ của mình nên toàn bất ngờ . Cái kết rất chân thật luôn. Ai làm mẹ đơn thân khao khát đc yêu nữa thì chắc ngồi mà khóc luôn í . Cám ơn phim rất nhiều ❤️❤️❤️
X,P,P,P,"Phim cốt truyện hay vcl, vui nhộn, kỹ xảo đẹp ! Đáng xem. Lồng tiếng rất hay"
X,X,P,P,10 điểm không có nhưng. Mãn nhãn từ hành động đến âm nhạc. Quá xứng đáng số tiền và thời gian đến rạp. Quá lâu rồi mới có 1 bộ phim làm adrenaline mình tăng cao đến vậy. Má mua sát giờ chiều ngồi ghế hàng C muốn gãy cái cổ z đó 😢
P,X,X,X,Đỉnh zl đáng xem hơn quật mộ hjhj Đặc biệt là chồng timothe đẹp zai
O,O,X,X,"Phim nhẹ nhàng , ko nhiều tình tiết, nhưng nội tâm nhân vật làm mình suy nghĩ nhiều. Cần có trải nghiệm liên quan để cảm thấy nhiều gợn sóng trong lòng khi xem"
X,X,X,O,"Bài hát trong phim không quá xuất sắc, nhưng không gây phản cảm."
X,X,X,X,đỉnh 10₫ ko có từ nào để chê 🤩🤩
P,N,X,X,Phim có diễn viên diễn suất tốt. Nhưng không có tình tiết chủ đạo khiến người xem nhớ đến phim.
X,X,X,P,"Mình xem cùng các con! Phim hay, âm thanh cũng ổn áp lắm!"
X,X,X,X,Bộ phim đầy mong đợi🐼🐼🐼…mọi người nên coi 1 vài lần vì rất hay . #FuBao
X,X,X,X,"Phim rất hay, cảm động, vk mình khóc ướt hết áo mk 😢😢😢"
O,X,X,X,"Một số cảnh cần cảm xúc mạnh mẽ hơn từ diễn viên, nhưng tổng thể vẫn ổn."
X,X,X,N,"Âm lượng giữa các cảnh phim thay đổi thất thường, gây mất tập trung."
P,P,X,X,Phim hay lắm nha nên xem nha mọi người câu chuyện dựng lại tình huống tấm cám ngoài đời thực và cám phải trả giá cho những gì mình làm rất độc âc. Mọi người nên đi xem đi nha. Hihiii phim hay lắm ạ Xem xong là nghiênn lun â tuibđã xem nhiều lần rùi vẫn thấy
X,X,X,X,"t đi coi lúc 23h50 mà coi cuốn ko bùn ngủ lun á bây, 10đ ko có nhưng, đáng xem nhaaaaaa"
X,P,X,P,"Phim hay, nhịp phim nhẹ nhàng nhưng vẫn khiến người xem day dứt về hành trình của sự trưởng thành. Phim có nhiều ẩn ý chi tiết hay và đắc giá. Nhạc phim siêu hayyyyy. Nên xem nha các bạn."
X,N,X,X,Phim giá hay nhưng cái kết không được trọn vẹn cho lắm. Mọi người nên xem thử nhé 🤣😢😔😔😢🤣🤣🤣😢🤣😢😢😢😢😢😢😢😢
X,X,X,X,nhất định ph đi xem lại nha mn🥺
X,X,X,X,"Coi khóc thấm từng chữ lun á huhu , must try nha mọi người , xem xog nhớ ngoại lắm lun"
X,X,X,X,Dành cho thiếu nhi. Nói chung là tạm được.
O,X,X,X,Các diễn viên trong phim không quá nổi bật nhưng không gây cảm giác khó chịu.
X,N,X,X,Nội dung  dỡ hơn tưởng tượng 🤣🤣
O,X,X,O,"Âm thanh trong phim giữ ở mức vừa phải, không quá lấn át."
X,X,X,X,Thấy cũng bt. Không như mong đợi lắm
P,P,P,P,"Trải nghiệm buổi chiếu sớm Deadpool & Wolverine thật tuyệt! Giữ đúng tinh thần các phần trước: hài hước cà khịa, máu me và hành động mãn nhãn. Âm thanh mạnh mẽ, dàn dựng chi tiết. Deadpool vẫn giữ phong cách nói nhiều, chửi thẳng, xem rất sướng mắt!"
